signal_date,strategy_leg,ts_code,name,buy_date,exit_rule,hold_offset,matched_condition_profile_ids,fill_probability,planned_buy_amount,available_fill_amount,status,exit_date,stock_return_before_fees,entry_reference_price,entry_price,exit_reference_price,exit_price,buy_adj_factor,sell_adj_factor,position_scale,account_return,entry_filled,position_opened,outcome_observable,position_open_until,action_date
20230926,A,301251.SZ,威尔高,20230927,FIXED_T2_CLOSE,2,A_FD_1PCT_2PCT_NON_ONE_WORD_FALLBACK,1.0,412500.0,203946710.46373725,OK,20230928,-0.0614802981610186,52.18,52.23217999999999,49.07,49.02093,1.0,1.0,1.0,-0.0516041617735942,True,True,True,20230928,20230927
20230927,A,300690.SZ,双一科技,20230928,FIXED_T2_CLOSE,2,A_FD_0_5PCT_1PCT,1.0,412500.0,277177186.542385,OK,20231009,-0.0213988412959255,17.49,17.507489999999997,17.15,17.132849999999998,2.717,2.717,1.0,-0.0185637442934425,True,True,True,20231009,20230928
20231018,A,300180.SZ,华峰超纤,20231019,FIXED_T2_CLOSE,2,A_FD_0_5PCT_1PCT,1.0,412500.0,1311124506.421136,OK,20231020,-0.0276976242641479,4.66,4.66466,4.54,4.53546,7.028,7.028,1.0,-0.0237560310805075,True,True,True,20231020,20231019
20231031,A,300269.SZ,联建光电,20231101,FIXED_T2_CLOSE,2,A_FD_0_3PCT_0_5PCT,1.0,412500.0,355952287.60220224,OK,20231102,0.0602429828236279,4.65,4.65465,4.94,4.93506,4.233,4.233,1.0,0.0487362034562211,True,True,True,20231102,20231101
20231102,A,301091.SZ,深城交,20231103,FIXED_T2_CLOSE,2,A_FD_0_5PCT_1PCT,1.0,412500.0,387986228.648,OK,20231106,0.0400864196044918,23.24,23.263239999999996,24.22,24.19578,1.976,1.976,1.0,0.0321205084238051,True,True,True,20231106,20231103
20231116,A,300637.SZ,扬帆新材,20231117,FIXED_T2_CLOSE,2,A_FD_0_3PCT_0_5PCT,1.0,412500.0,401062659.560457,OK,20231120,-0.0036408036408034,12.15,12.16215,12.13,12.11787,1.983,1.983,1.0,-0.0039252300366298,True,True,True,20231120,20231117
20231117,A,300242.SZ,佳云科技,20231120,FIXED_T2_CLOSE,2,A_FD_1PCT_2PCT_NON_ONE_WORD_FALLBACK,1.0,412500.0,269414768.35684896,OK,20231121,0.1553792361484671,5.2,5.2052,6.02,6.013979999999999,5.154,5.154,1.0,0.1271600376479291,True,True,True,20231121,20231120
20231124,A,300697.SZ,电工合金,20231127,FIXED_T2_CLOSE,2,A_FD_1PCT_2PCT_NON_ONE_WORD_FALLBACK,1.0,412500.0,277277889.39134,OK,20231128,-0.0868916749693706,14.93,14.944929999999998,13.66,13.64634,2.286,2.286,1.0,-0.0725515664879325,True,True,True,20231128,20231127
20231129,A,300351.SZ,永贵电器,20231130,FIXED_T2_CLOSE,2,A_FD_0_3PCT_0_5PCT,1.0,412500.0,845471041.562428,OK,20231201,0.0275081440298834,23.0,23.022999999999996,23.68,23.65632,4.49,4.49,1.0,0.0217518365074058,True,True,True,20231201,20231130
20231201,A,300418.SZ,昆仑万维,20231204,FIXED_T2_CLOSE,2,A_FD_0_5PCT_1PCT,1.0,412500.0,4791208833.922442,OK,20231205,-0.0781146835160339,39.99,40.02999,36.94,36.90306,4.042,4.042,1.0,-0.0653164137634683,True,True,True,20231205,20231204
20231205,A,300560.SZ,中富通,20231206,FIXED_T2_CLOSE,2,A_FD_1PCT_2PCT_NON_ONE_WORD_FALLBACK,1.0,412500.0,142168511.276535,OK,20231207,-0.0334350649350646,20.0,20.019999999999996,19.37,19.35063,2.772,2.772,1.0,-0.0284855855892854,True,True,True,20231207,20231206
20231215,A,300781.SZ,因赛集团,20231218,FIXED_T2_CLOSE,2,A_FD_0_3PCT_0_5PCT,1.0,412500.0,541811570.088828,OK,20231219,0.1397061356493407,49.3,49.34929999999999,56.3,56.2437,1.344,1.344,1.0,0.1142402032855584,True,True,True,20231219,20231218
20231221,A,300530.SZ,领湃科技,20231222,FIXED_T2_CLOSE,2,A_FD_0_5PCT_1PCT,1.0,412500.0,343993746.06047094,OK,20231225,0.3822278412604178,20.26,20.28026,28.06,28.03194,2.407,2.407,1.0,0.3141585452849224,True,True,True,20231225,20231222
